id,body,postid,likes,user,username
1,This is some awesome thinking!,242,3,"{'id': 105, 'username': 'emmac', 'fullName': 'Emma Wilson'}",Unknown
2,What terrific math skills you're showing!,46,4,"{'id': 183, 'username': 'cameronp', 'fullName': 'Cameron Perez'}",Unknown
3,You are an amazing writer!,235,2,"{'id': 1, 'username': 'emilys', 'fullName': 'Emily Johnson'}",Unknown
4,Wow! You have improved so much!,31,1,"{'id': 89, 'username': 'braydenf', 'fullName': 'Brayden Fleming'}",Unknown
5,Nice idea!,212,1,"{'id': 149, 'username': 'wyattp', 'fullName': 'Wyatt Perry'}",Unknown
6,You are showing excellent understanding!,184,5,"{'id': 110, 'username': 'danielt', 'fullName': 'Daniel Taylor'}",Unknown
7,"This is clear, concise, and complete!",172,1,"{'id': 4, 'username': 'jamesd', 'fullName': 'James Davis'}",Unknown
8,What a powerful argument!,233,0,"{'id': 145, 'username': 'lukec', 'fullName': 'Luke Cooper'}",Unknown
9,I knew you could do it!,207,3,"{'id': 207, 'username': 'jaces', 'fullName': 'Jace Smith'}",Unknown
10,Wonderful ideas!,87,0,"{'id': 86, 'username': 'noram', 'fullName': 'Nora Mills'}",Unknown
11,It was a pleasure to grade this!,156,8,"{'id': 162, 'username': 'mateob', 'fullName': 'Mateo Bennett'}",Unknown
12,Keep up the incredible work!,119,10,"{'id': 90, 'username': 'scarlettb', 'fullName': 'Scarlett Bowman'}",Unknown
13,"My goodness, how impressive!",108,10,"{'id': 87, 'username': 'hunterg', 'fullName': 'Hunter Gordon'}",Unknown
14,You're showing inventive ideas!,20,8,"{'id': 77, 'username': 'jonathanp', 'fullName': 'Jonathan Pierce'}",Unknown
15,You've shown so much growth!,6,2,"{'id': 17, 'username': 'evelyns', 'fullName': 'Evelyn Sanchez'}",Unknown
16,Interesting thoughts!,14,5,"{'id': 199, 'username': 'viviang', 'fullName': 'Vivian Carter'}",Unknown
17,I love your neat work!,240,7,"{'id': 155, 'username': 'nicholase', 'fullName': 'Nicholas Edwards'}",Unknown
18,Doesn't it feel good to do such great work?,227,6,"{'id': 134, 'username': 'noramx', 'fullName': 'Nora Russell'}",Unknown
19,First-rate work!,245,1,"{'id': 203, 'username': 'novab', 'fullName': 'Nova Cooper'}",Unknown
20,This is fascinating information!,176,4,"{'id': 39, 'username': 'lucasg', 'fullName': 'Lucas Gray'}",Unknown
21,You inspire me!,229,0,"{'id': 113, 'username': 'miam', 'fullName': 'Mia Miller'}",Unknown
22,This is right on target!,9,5,"{'id': 113, 'username': 'miam', 'fullName': 'Mia Miller'}",Unknown
23,What an astounding observation!,33,1,"{'id': 155, 'username': 'nicholase', 'fullName': 'Nicholas Edwards'}",Unknown
24,This is very well thought out!,121,1,"{'id': 169, 'username': 'jaxonb', 'fullName': 'Jaxon Barnes'}",Unknown
25,I can tell you've been practicing!,247,9,"{'id': 160, 'username': 'claires', 'fullName': 'Claire Foster'}",Unknown
26,You've come a long way!,79,7,"{'id': 59, 'username': 'ethanf', 'fullName': 'Ethan Fletcher'}",Unknown
27,I can tell you've been paying attention!,55,9,"{'id': 57, 'username': 'nathand', 'fullName': 'Nathan Dixon'}",Unknown
28,Reading this made my day!,209,8,"{'id': 177, 'username': 'xavierw', 'fullName': 'Xavier Wright'}",Unknown
29,This is very perceptive!,31,2,"{'id': 168, 'username': 'lunah', 'fullName': 'Luna Perez'}",Unknown
30,What an accomplishment!,126,8,"{'id': 89, 'username': 'braydenf', 'fullName': 'Brayden Fleming'}",Unknown
